thematicRatioFeat,sentPosFeat,sentLenFeat,sentParaPosFeat,properNounsFeat,sentNumeralsFeat,properNounsFeat,tf_isfFeat,centroidSimFeat
0.1667,1.0,24,1,8,0.0,8,1.8188,1.0
0.1429,-0.9529,14,0,4,0.0,4,0.973,0.0472
0.3636,1.0,22,0,9,0.0,9,1.5455,0.1929
0.0,-0.9529,14,0,6,0.0,6,0.6931,0.0
0.1111,0.8159,9,0,4,0.0,4,0.8047,0.0589
0.0952,-0.602,21,0,8,0.0,8,1.354,0.0377
0.0526,0.3314,19,0,6,0.0,6,1.1513,0.0811
0.0909,-0.0295,33,1,9,0.0,9,1.354,0.0312
0.1333,-0.2752,15,1,5,0.0,5,0.8047,0.0
0.25,0.5539,8,0,5,0.0,5,0.8959,0.0
0.1538,-0.7804,13,0,4,0.0,4,1.1513,0.049
0.3333,0.9333,12,0,6,0.0,6,1.629,0.378
0.0,-0.9983,15,0,8,0.0,8,0.0,0.0
0.0769,0.9691,13,0,9,0.0,9,0.3466,0.0
0.0,1.0,8,1,3,0.0,3,0.0,0.0
